,AGENCY,AGENCY NAME,CLASS TITLE,ETHNICITY,GENDER,STATUS,HRS PER WK,MONTHLY,ANNUAL
351,103,100,995,5,1,7,40.0,7120.32,85443.84
353,103,100,741,1,1,7,40.0,3753.08,45036.96
354,103,100,1279,3,1,7,40.0,3750.89,45010.68
355,103,100,352,3,0,7,40.0,3847.33,46167.96
356,103,100,747,2,1,7,40.0,4986.24,59834.88
357,103,100,996,5,1,7,40.0,6826.47,81917.64
358,103,100,389,5,1,7,40.0,13371.45,160457.4
359,103,100,744,5,0,7,40.0,5368.0,64416.0
360,103,100,999,5,1,7,40.0,6508.34,78100.08
361,103,100,1195,5,1,7,40.0,7124.99,85499.88
362,103,100,1165,5,0,7,40.0,3436.72,41240.64
363,103,100,1165,5,1,7,40.0,3394.17,40730.04
364,103,100,444,5,1,7,40.0,6291.68,75500.16
365,103,100,1236,0,0,7,40.0,5416.67,65000.04
366,103,100,1134,5,1,7,40.0,5041.67,60500.04
367,103,100,1230,3,1,7,40.0,3956.4,47476.8
368,103,100,352,3,0,7,40.0,4570.54,54846.48
369,103,100,1419,5,0,7,40.0,3906.43,46877.16
370,103,100,996,5,1,7,40.0,8444.31,101331.72
371,103,100,1137,5,0,7,40.0,4333.34,52000.08
372,103,100,60,2,1,7,40.0,3095.39,37144.68
373,103,100,861,5,0,7,40.0,7925.3,95103.6
374,103,100,745,5,1,7,40.0,4125.34,49504.08
375,103,100,668,5,1,7,40.0,3750.0,45000.0
376,103,100,1024,1,1,7,40.0,7446.59,89359.08
377,103,100,739,5,1,7,40.0,8024.45,96293.4
379,103,100,1379,5,0,7,40.0,5000.0,60000.0
380,103,100,1134,5,1,7,40.0,4916.66,58999.92
382,103,100,746,5,1,7,40.0,4705.1,56461.2
385,103,100,1418,5,0,7,40.0,3583.33,42999.96
386,103,100,895,4,1,7,40.0,5583.33,66999.96
387,103,100,1136,5,0,7,40.0,4166.67,50000.04
388,103,100,995,5,1,7,40.0,7316.7,87800.4
389,103,100,1284,5,0,7,40.0,5041.68,60500.16
390,103,100,1276,5,1,7,40.0,5417.0,65004.0
391,103,100,276,5,1,7,40.0,7750.0,93000.0
392,103,100,351,2,0,7,40.0,3333.34,40000.08
393,103,100,213,5,0,7,40.0,6299.93,75599.16
395,103,100,1165,5,1,7,40.0,4025.57,48306.84
396,103,100,1136,5,1,7,40.0,3500.0,42000.0
397,103,100,746,2,0,7,40.0,3600.0,43200.0
398,103,100,1092,5,1,7,40.0,5302.47,63629.64
399,103,100,1194,5,0,7,40.0,4681.67,56180.04
400,103,100,1024,5,1,7,40.0,7432.57,89190.84
401,103,100,1030,5,1,7,40.0,6925.89,83110.68
402,103,100,505,3,1,7,40.0,3450.89,41410.68
403,103,100,412,3,0,8,20.0,1348.54,16182.48
404,103,100,357,3,1,7,40.0,6311.73,75740.76
405,103,100,60,2,1,7,40.0,3375.0,40500.0
406,103,100,1231,5,1,7,40.0,4855.25,58263.0
408,103,100,863,5,1,7,40.0,9944.75,119337.0
409,103,100,669,5,1,7,40.0,4486.81,53841.72
410,103,100,505,5,1,7,40.0,3557.67,42692.04
411,103,100,1281,5,1,7,40.0,6481.43,77777.16
412,103,100,1263,2,0,7,40.0,3891.67,46700.04
413,103,100,985,3,0,7,40.0,3345.54,40146.48
414,103,100,749,2,0,7,40.0,8333.34,100000.08
415,103,100,745,5,1,7,40.0,3950.15,47401.8
416,103,100,893,5,1,7,40.0,4583.34,55000.08
417,103,100,1334,3,1,7,40.0,4975.66,59707.92
418,103,100,749,5,0,7,40.0,8750.0,105000.0
419,103,100,896,5,1,7,40.0,6033.33,72399.96
420,103,100,135,2,0,7,40.0,3593.86,43126.32
421,103,100,206,5,1,7,40.0,10682.16,128185.92
423,103,100,1030,3,0,7,40.0,7033.34,84400.08
424,103,100,1195,5,1,7,40.0,5833.34,70000.08
425,103,100,443,3,0,7,40.0,3608.34,43300.08
427,103,100,985,5,0,7,40.0,3020.84,36250.08
428,103,100,738,5,0,7,40.0,7167.77,86013.24
429,103,100,1168,5,1,7,40.0,4230.65,50767.8
430,103,100,503,5,1,7,40.0,6184.0,74208.0
